caseid,method,noise_bin,gaussian_sigma,rician_sigma,mae,rmse,psnr,ssim
1048564,ResidualUNet,high,16.599380449000066,25.773328501192427,0.00612671,0.00779620,42.16233928,0.99512237
1050727,Noisy,mid,10.427285658564884,16.116478512832472,0.00535417,0.00676044,43.40050071,0.99604392
1050727,Gaussian,mid,10.427285658564884,16.116478512832472,0.00813944,0.01142270,38.84462316,0.99507189
1050727,NLM,mid,10.427285658564884,16.116478512832472,0.00532435,0.00672704,43.44351923,0.99611127
1050727,ResidualUNet,mid,10.427285658564884,16.116478512832472,0.00468732,0.00594236,44.52082322,0.99726218
1051004,Noisy,high,25.76263627357525,24.99638021818279,0.00943327,0.01189876,38.48996865,0.98817903
1051004,Gaussian,high,25.76263627357525,24.99638021818279,0.01075467,0.01434931,36.86338106,0.98981172
1051004,NLM,high,25.76263627357525,24.99638021818279,0.00937782,0.01183799,38.53444267,0.98845935
1051004,ResidualUNet,high,25.76263627357525,24.99638021818279,0.00745647,0.00950061,40.44497212,0.99362034
1051284,Noisy,high,24.79892534107866,22.101045935259826,0.00792479,0.01000556,39.99517130,0.99052644
1051284,Gaussian,high,24.79892534107866,22.101045935259826,0.00933857,0.01240186,38.13026264,0.99128067
1051284,NLM,high,24.79892534107866,22.101045935259826,0.00769362,0.00973807,40.23054248,0.99135143
1051284,ResidualUNet,high,24.79892534107866,22.101045935259826,0.00659314,0.00839145,41.52325927,0.99424285
1052735,Noisy,mid,17.61907940008809,19.303180821325178,0.00711517,0.00898005,40.93442749,0.99272460
1052735,Gaussian,mid,17.61907940008809,19.303180821325178,0.00928227,0.01263521,37.96834856,0.99249178
1052735,NLM,mid,17.61907940008809,19.303180821325178,0.00700717,0.00885561,41.05562997,0.99312145
1052735,ResidualUNet,mid,17.61907940008809,19.303180821325178,0.00603125,0.00766803,42.30632802,0.99532139
1053014,Noisy,low,20.998126369225815,13.049014588448754,0.00785933,0.00991939,40.07030401,0.99218553
1053014,Gaussian,low,20.998126369225815,13.049014588448754,0.00940679,0.01261770,37.98039855,0.99254328
1053014,NLM,low,20.998126369225815,13.049014588448754,0.00782452,0.00987992,40.10492941,0.99234939
1053014,ResidualUNet,low,20.998126369225815,13.049014588448754,0.00660469,0.00837919,41.53595848,0.99489868
1058726,Noisy,low,22.512498300734173,11.553802328897849,0.00706146,0.00891213,41.00037361,0.99298185
1058726,Gaussian,low,22.512498300734173,11.553802328897849,0.00924936,0.01260844,37.98676963,0.99280542
1058726,NLM,low,22.512498300734173,11.553802328897849,0.00699381,0.00883511,41.07576299,0.99326700
1058726,ResidualUNet,low,22.512498300734173,11.553802328897849,0.00592207,0.00752273,42.47248825,0.99557298
1059649,Noisy,mid,8.181864231118663,19.848879983906354,0.00732070,0.00923968,40.68686074,0.99209529
1059649,Gaussian,mid,8.181864231118663,19.848879983906354,0.00918581,0.01235251,38.16489333,0.99219269
1059649,NLM,mid,8.181864231118663,19.848879983906354,0.00730756,0.00922470,40.70095280,0.99216330
1059649,ResidualUNet,mid,8.181864231118663,19.848879983906354,0.00619126,0.00785623,42.09571687,0.99485290
1062404,Noisy,low,10.15745000161487,9.040090753506085,0.00391717,0.00494676,46.11358566,0.99770421
1062404,Gaussian,low,10.15745000161487,9.040090753506085,0.00737733,0.01072324,39.39347683,0.99581730
1062404,NLM,low,10.15745000161487,9.040090753506085,0.00391728,0.00494803,46.11135612,0.99768889
1062404,ResidualUNet,low,10.15745000161487,9.040090753506085,0.00358777,0.00453931,46.86021268,0.99818981
1062941,Noisy,mid,12.882579227054,19.84963837569687,0.00783460,0.00989018,40.09591802,0.99089205
1062941,Gaussian,mid,12.882579227054,19.84963837569687,0.00927801,0.01259570,37.99555063,0.99168885
1062941,NLM,mid,12.882579227054,19.84963837569687,0.00783459,0.00989017,40.09592868,0.99089205
1062941,ResidualUNet,mid,12.882579227054,19.84963837569687,0.00649355,0.00825436,41.66633037,0.99439299
1063389,Noisy,high,27.821554111201166,29.108268804621087,0.00981283,0.01238448,38.14244590,0.98619646
1063389,Gaussian,high,27.821554111201166,29.108268804621087,0.01096473,0.01442991,36.81472685,0.98812997
1063389,NLM,high,27.821554111201166,29.108268804621087,0.00949528,0.01202411,38.39894444,0.98759085
1063389,ResidualUNet,high,27.821554111201166,29.108268804621087,0.00794266,0.01011421,39.90135855,0.99218082
1069868,Noisy,mid,7.6222737002375895,14.512878845545998,0.00534023,0.00674165,43.42467916,0.99586707
1069868,Gaussian,mid,7.6222737002375895,14.512878845545998,0.00855563,0.01200215,38.41481807,0.99446642
1069868,NLM,mid,7.6222737002375895,14.512878845545998,0.00544150,0.00689667,43.22720791,0.99507469
1069868,ResidualUNet,mid,7.6222737002375895,14.512878845545998,0.00478581,0.00606350,44.34553021,0.99696499
1074247,Noisy,low,8.855299059614524,12.25527378843477,0.00452505,0.00571375,44.86157206,0.99741268
1074247,Gaussian,low,8.855299059614524,12.25527378843477,0.00824148,0.01156952,38.73369016,0.99571633
1074247,NLM,low,8.855299059614524,12.25527378843477,0.00471180,0.00600288,44.43280795,0.99651390
1074247,ResidualUNet,low,8.855299059614524,12.25527378843477,0.00414092,0.00524006,45.61328054,0.99799305
1075788,Noisy,mid,6.9242616021845365,18.44672822424919,0.00585645,0.00739675,42.61918479,0.99555504
1075788,Gaussian,mid,6.9242616021845365,18.44672822424919,0.00858995,0.01198900,38.42433905,0.99454111
1075788,NLM,mid,6.9242616021845365,18.44672822424919,0.00582858,0.00736635,42.65495526,0.99562520
1075788,ResidualUNet,mid,6.9242616021845365,18.44672822424919,0.00514020,0.00651648,43.71973348,0.99688017
1076850,Noisy,low,14.358332729218018,13.254694192699727,0.00641455,0.00809551,41.83512030,0.99558729
1076850,Gaussian,low,14.358332729218018,13.254694192699727,0.00963524,0.01333915,37.49743948,0.99433094
1076850,NLM,low,14.358332729218018,13.254694192699727,0.00641320,0.00809397,41.83677344,0.99559021
1076850,ResidualUNet,low,14.358332729218018,13.254694192699727,0.00565330,0.00716618,42.89424894,0.99687076
1077912,Noisy,high,7.470214797388243,20.37515926867128,0.00502222,0.00633950,43.95890646,0.99675721
1077912,Gaussian,high,7.470214797388243,20.37515926867128,0.00825170,0.01151199,38.77699214,0.99531549
1077912,NLM,high,7.470214797388243,20.37515926867128,0.00502020,0.00634059,43.95740889,0.99669141
1077912,ResidualUNet,high,7.470214797388243,20.37515926867128,0.00457589,0.00579223,44.74309019,0.99755478
1078249,Noisy,high,19.292426559497855,20.18723981894717,0.00851212,0.01074467,39.37613814,0.98989314
1078249,Gaussian,high,19.292426559497855,20.18723981894717,0.00989661,0.01329851,37.52393809,0.99133599
1078249,NLM,high,19.292426559497855,20.18723981894717,0.00847051,0.01069839,39.41363061,0.99011624
1078249,ResidualUNet,high,19.292426559497855,20.18723981894717,0.00689650,0.00878039,41.12972358,0.99425894
1078805,Noisy,low,8.696846195858951,9.480683418721032,0.00378259,0.00477669,46.41746250,0.99805164
1078805,Gaussian,low,8.696846195858951,9.480683418721032,0.00754898,0.01086704,39.27777860,0.99620467
1078805,NLM,low,8.696846195858951,9.480683418721032,0.00397141,0.00507660,45.88854416,0.99721402
1078805,ResidualUNet,low,8.696846195858951,9.480683418721032,0.00350215,0.00442987,47.07218869,0.99842966
1081139,Noisy,high,20.95480982916477,23.10005575644147,0.00824312,0.01040411,39.65589864,0.99037766
1081139,Gaussian,high,20.95480982916477,23.10005575644147,0.00993761,0.01336376,37.48142592,0.99105877
1081139,NLM,high,20.95480982916477,23.10005575644147,0.00804500,0.01017910,39.84581369,0.99130988
1081139,ResidualUNet,high,20.95480982916477,23.10005575644147,0.00675018,0.00859880,41.31124110,0.99433482
1081699,Noisy,high,23.425651806976433,23.37385874546878,0.00811591,0.01024601,39.78890582,0.98942584
1081699,Gaussian,high,23.425651806976433,23.37385874546878,0.00988783,0.01333687,37.49892226,0.99064612
1081699,NLM,high,23.425651806976433,23.37385874546878,0.00784590,0.00993551,40.05619516,0.99051082
1081699,ResidualUNet,high,23.425651806976433,23.37385874546878,0.00666449,0.00849392,41.41783483,0.99389511
1082436,Noisy,high,6.080589515890658,22.507662208889094,0.00725838,0.00915941,40.76264750,0.99319905
1082436,Gaussian,high,6.080589515890658,22.507662208889094,0.00971799,0.01316589,37.61099388,0.99289185
1082436,NLM,high,6.080589515890658,22.507662208889094,0.00725465,0.00915509,40.76675042,0.99321848
1082436,ResidualUNet,high,6.080589515890658,22.507662208889094,0.00621073,0.00787987,42.06962188,0.99556702
1082814,Noisy,mid,10.653905491154617,16.14168403251172,0.00546160,0.00689704,43.22675053,0.99533993
1082814,Gaussian,mid,10.653905491154617,16.14168403251172,0.00847840,0.01189875,38.48997133,0.99416238
1082814,NLM,mid,10.653905491154617,16.14168403251172,0.00544259,0.00687685,43.25221439,0.99530894
1082814,ResidualUNet,mid,10.653905491154617,16.14168403251172,0.00486157,0.00616207,44.20547424,0.99665815
